gaia_id,hostname,pl_name,ra,dec
"Gaia DR2 2101670713625146112","Kepler-1158","Kepler-1158 b",292.2339048,41.5751832
"Gaia DR2 2134847343119885440","Kepler-396","Kepler-396 b",296.1328135,48.9773095
"Gaia DR2 2616071555020488960","K2-73","K2-73 c",335.0256620,-9.0560881
"Gaia DR2 289464440515102976","TOI-4515","TOI-4515 b",21.1861778,21.5130638
"Gaia DR2 2080334106374197376","Kepler-193","Kepler-193 c",296.4985951,46.5772484
"Gaia DR2 2100570824038577792","Kepler-1852","Kepler-1852 b",288.0297157,40.3441934
"Gaia DR2 2079523903745213056","Kepler-1666","Kepler-1666 b",297.9516071,46.2647024
"Gaia DR2 3738099879558957952","GJ 514","GJ 514 b",202.5040424,10.3725387
"Gaia DR2 2908664557091200768","TOI-431","TOI-431 b",83.2692502,-26.7238698
"Gaia DR2 2076662871411824128","Kepler-1830","Kepler-1830 b",295.1390408,40.9790527
"Gaia DR2 2599975224481836672","K2-58","K2-58 d",333.8218395,-14.0498570
"Gaia DR2 2134730897967299968","Kepler-300","Kepler-300 c",295.2886934,48.5997243
"Gaia DR2 5582647836223843840","HATS-66","HATS-66 b",101.3948048,-33.8816918
"Gaia DR2 4623036865373793408","HD 39091","pi Men c",84.2992798,-80.4646041
"Gaia DR2 2128469007448159232","Kepler-225","Kepler-225 c",292.1939846,47.4570808
"Gaia DR2 2118424350249708800","GJ 720 A","GJ 720 A b",278.8294172,45.7456038
"Gaia DR2 2077219052496826368","Kepler-1340","Kepler-1340 b",296.2328099,42.4727965
"Gaia DR2 2126194667646233984","Kepler-357","Kepler-357 c",291.2429746,44.0086337
"Gaia DR2 3721126409323324416","HR 5183","HR 5183 b",206.7357992,6.3498994
"Gaia DR2 2087171453788422528","Kepler-538","Kepler-538 b",297.4865503,49.6233975
"Gaia DR2 2077745168807120128","Kepler-374","Kepler-374 c",294.1378921,42.3704075
"Gaia DR2 5220639164696365312","HD 74698","HD 74698 c",130.0744755,-71.8768726
"Gaia DR2 4325505960880989952","K2-289","K2-289 b",246.6429443,-15.7925384
"Gaia DR2 658274970145911424","K2-119","K2-119 b",132.0098683,16.9017663
"Gaia DR2 2052968773786517760","Kepler-820","Kepler-820 b",291.0201523,39.2206091
"Gaia DR2 2102911576914748032","Kepler-247","Kepler-247 d",288.6425609,43.0393769
"Gaia DR2 2130443730330509312","Kepler-140","Kepler-140 c",287.3694056,46.7681473
"Gaia DR2 2133215461704521088","Kepler-1409","Kepler-1409 b",290.0847389,51.2086144
"Gaia DR2 2104037962156847744","Kepler-1093","Kepler-1093 c",284.9780251,41.4202077
"Gaia DR2 2134893660047959040","Kepler-535","Kepler-535 b",296.5666587,49.6961742
"Gaia DR2 2299246592282070400","TOI-4153","TOI-4153 b",335.3934698,82.2160792
"Gaia DR2 2099980386293545216","Kepler-770","Kepler-770 c",286.4904589,38.3748720
"Gaia DR2 4021079911593673600","HIP 57274","HIP 57274 b",176.1705487,30.9576484
